title,reply,cluster
一方有残疾可以离婚吗,可以协议离婚或者诉讼离婚的，法院判决离婚的标准是夫妻感情破裂,4
没带过孩子，能争取孩子抚养权吗,婚姻法规定的抚养权原则是，如果父母离婚，父母与子女的关系不因父母离婚而改变。子女抚养权，主要取决于抚养条件。主要有这样几条原则：1、一周岁以下的子女，判给母亲抚养；2、哺乳期内的子女原则上判给母亲抚养；3、自幼由祖父母看护的，原则上判给父亲抚养；自幼由外祖父母看护的，原则上判给母亲抚养；4、那方收入多，有利于孩子健康成长原则上把孩子判给谁抚养；5、一方如果有过错或家庭暴力倾向，原则上不把孩子判给这一方抚养；6、一方有不可治愈的传染性疾病或无法自理的疾病，不适合抚养孩子，原则上不能把孩子判给这一方；7、八周岁以上的孩子，要征求孩子意见，原则上按孩子的愿望判决。,4
是不是故意伤害，受害方有没有过错,要根据行为确定涉嫌故意伤害（致人重伤）罪，一般处三年以上十年以下有期徒刑。受害方有过错的，可以作为一个酌定情节（从轻）在量刑时考虑。法律依据：《刑法》第二百三十四条【故意伤害罪】故意伤害他人身体的，处三年以下有期徒刑、拘役或者管制。犯前款罪，致人重伤的，处三年以上十年以下有期徒刑;致人死亡或者以特别残忍手段致人重伤造成严重残疾的，处十年以上有期徒刑、无期徒刑或者死刑。本法另有规定的，依照规定。,6
算是持械斗殴吗但是他的朋友把人杀死了,民法通则、治安管理处罚法、刑法分别对打架斗殴的后果、情节不同分别使用的法条，请对应了解：《中华人民共和国民法通则》第一百一十九条侵害公民身体造成伤害的，应当赔偿医疗费、因误工减少的收入、残废者生活补助费等费用；造成死亡的，并应当支付丧葬费、死者生前扶养的人必要的生活费等费用。《中华人民共和国治安管理处罚法》第二十六条有下列行为之一的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款：（一）结伙斗殴的；（二）追逐、拦截他人的；（三）强拿硬要或者任意损毁、占用公私财物的；（四）其他寻衅滋事行为。第四十三条殴打他人的，或者故意伤害他人身体的，处五日以上十日以下拘留，并处二百元以上五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。有下列情形之一的，处十日以上十五日以下拘留，并处五百元以上一千元以下罚款：（一）结伙殴打、伤害他人的；（二）殴打、伤害残疾人、孕妇、不满十四周岁的人或者六十周岁以上的人的；（三）多次殴打、伤害他人或者一次殴打、伤害多人的。《中华人民共和国刑法》第二百三十四条故意伤害他人身体的，处三年以下有期徒刑、拘役或者管制。犯前款罪，致人重伤的，处三年以上十年以下有期徒刑；致人死亡或者以特别残忍手段致人重伤造成严重残疾的，处十年以上有期徒刑、无期徒刑或者死刑。本法另有规定的，依照规定。,7
自从我生下儿子，能争取到孩子抚养权吗,新婚姻法规定的抚养权原则是，如果父母离婚，父母与子女的关系不因父母离婚而改变。子女抚养权，主要取决于抚养条件。主要有这样几条原则：1、一周岁以下的子女，判给母亲抚养；2、哺乳期内的子女原则上判给母亲抚养；3、自幼由祖父母看护的，原则上判给父亲抚养；自幼由外祖父母看护的，原则上判给母亲抚养；4、那方收入多，有利于孩子健康成长原则上把孩子判给谁抚养；5、一方如果有过错或家庭暴力倾向，原则上不把孩子判给这一方抚养；6、一方有不可治愈的传染性疾病或无法自理的疾病，不适合抚养孩子，原则上不能把孩子判给这一方；7、十周岁以上的孩子，要征求孩子一件，原则上按孩子的愿望判决。,9
婚姻存续中一方借款另一方不知道是否要有双方,一方借款是否属于夫妻共同债务，应当以实际案情作出判断，并不是所有的一方借款都属于共同债务。《婚姻法司法解释（二〉》第二十四条：“债权人就婚姻关系存续期间夫妻一方以个人名义所负债务主张权利的，应当按夫妻共同债务处理。但夫妻一方能够证明债权人与债务人明确约定为个人债务，或者能够证明属于婚姻法第十九条第三款规定情形的除外。”,0
与公司签了保密协议，有没有写工资里包含了保,《劳动合同法》第二十三条、第二十四条规定：用人单位与劳动者可以在劳动合同约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限（二年）内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。竞业限制的人员限于用人单位高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制的范围、地域、期限由用人单位与劳动者约定，竞业限制的约定不得违反法律、法规的规定。在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。,1
醉驾处罚拘役多长时间期限为一个月以上六个月,醉驾构成危险驾驶罪，最高可处半年的拘役。《刑法》第一百三十三条【交通肇事罪】违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役；交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。在道路上驾驶机动车追逐竞驶，情节恶劣的，或者在道路上醉酒驾驶机动车的，处拘役，并处罚金。有前款行为，同时构成其他犯罪的，依照处罚较重的规定定罪处罚。,5
离婚多笔债务要求对方偿还，离婚债务与讨债有何区别,在夫妻离婚诉讼中，涉及夫妻债务时，会出现很多虚假债务，比如夫妻一方为了转移财产，与他人伪造债务，并在离婚时主张夫妻共同赔偿债务，以此在经济中得利。所以法院如果认定夫妻一方债务为夫妻共同债务，该债务必须在婚姻存续期间所借，且借款用于夫妻共同生活。“即使一方借款，另一方知情，但借款没有用于共同生活，也不算做共同债务。”在举证方面，主张的一方需要举证。大额支出举证还是不难的，如果大额负债用于夫妻共同生活，比如用于购买房产等，还是很容易举证的。曾经有一起离婚诉讼中，夫妻一方提出要将100万元的巨额债务归为共同债务，但其无法举证100万巨额借款用于夫妻共同生活，最终法院驳回其诉求。在该案件中，女方虽然拿出了4份民间借贷债务的判决书，证实自己确实拖欠了债务，但无法举证该债务用于共同生活支出，男方同样亦无法举证，因此法院不认可各自债务为共同债务，判决双方各自承担自己拖欠的债务。债权人一旦起诉夫妻，要求返回债务，法院一般会判决夫妻对债务均承担连带责任。只有个别情况除外，比如夫妻一方借钱时，在欠条上明确约定债务仅为夫妻一方承担。债权人起诉夫妻和夫妻离婚诉讼的判决并不互相违背，在债权人起诉夫妻的案件中，夫妻承担了连带责任，但两人可以在离婚诉讼中协商债务该如何负担。最高法司法解释曾规定，债权人就婚姻关系存续期间夫妻一方以个人名义所负债务主张权利的，应当按夫妻共同债务处理。但两种情况除外，第一种就是夫妻一方能够证明债权人与债务人明确约定为个人债务；第二种情况是夫妻对婚姻关系存续期间所得的财产约定归各自所有，夫或妻一方对外所负的债务，债权人知道该约定的，以夫或妻一方所有的财产清偿。最高法出台新的司法解释，针对司法实践中出现的涉及夫妻共同债务的新问题和新情况，作出规定，夫妻一方与第三人串通，虚构债务，第三人主张权利的，法院不予支持。夫妻一方在从事赌博、吸毒等违法犯罪活动中所负债务，第三人主张权利的，法院不予支持。,0
交通事故赔偿与责任有关系吗,交通事故损害赔偿一般是由当事人按过错承担责任、保险公司在保险份额内承担保险责任。其中交强险保险公司承担责任不分过错。,10
